model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,featval_source_evidence,featval_sensor_visibility,featval_wind_error_sensitivity,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000967,4,1.069870,0.581750,-0.355834,1.335379,1.069143,3.355135,-6.711018,-8.006804,0.000e+00
DeepSets,ch4t-test-000968,4,-0.269676,0.176415,-0.741538,0.543289,1.004109,1.352722,-8.788943,-7.954145,0.000e+00
DeepSets,ch4t-test-000969,8,0.506752,-0.776520,0.289313,0.035216,0.507047,0.168913,-8.995735,-9.015280,1.110e-16
DeepSets,ch4t-test-000970,7,-0.008173,0.369387,-0.054040,0.006243,-1.684717,0.083813,-8.403171,-8.710346,0.000e+00
DeepSets,ch4t-test-000971,4,-0.050374,0.628351,-0.120485,0.029164,0.295637,0.197573,-7.817210,-8.274702,5.551e-17
DeepSets,ch4t-test-000972,8,0.205312,0.061527,-0.099238,0.541371,0.959132,0.413975,-5.836270,-6.003871,0.000e+00
DeepSets,ch4t-test-000973,6,0.908684,-0.036391,-0.167008,0.931044,0.599714,0.766466,-4.713425,-5.418709,2.220e-16
DeepSets,ch4t-test-000974,6,1.116949,-0.246763,0.503359,1.533722,0.703367,1.734288,-4.144606,-5.518151,2.220e-16
DeepSets,ch4t-test-000975,8,3.115792,0.855960,-2.576413,1.167259,0.647304,2.267262,-4.428098,-5.823438,4.441e-16
DeepSets,ch4t-test-000976,8,1.229688,-0.155444,0.657532,0.568102,1.417322,1.190638,-4.318249,-6.050025,0.000e+00
DeepSets,ch4t-test-000977,8,-0.025971,0.052856,0.168147,0.538603,1.149295,0.261100,-5.944951,-6.139983,0.000e+00
DeepSets,ch4t-test-000978,6,-0.110650,0.636148,-0.059893,-0.031760,-0.813560,0.109572,-9.108850,-9.574455,0.000e+00
DeepSets,ch4t-test-000979,8,0.236811,-0.164779,0.658005,0.226702,0.697689,0.696819,-4.277238,-5.007275,0.000e+00
DeepSets,ch4t-test-000980,5,0.371178,0.194559,0.123376,0.363823,0.511384,0.606979,-4.418532,-5.107645,0.000e+00
DeepSets,ch4t-test-000981,4,2.099299,0.608238,0.441173,0.110429,-0.470336,0.283947,-3.444132,-6.592841,0.000e+00
DeepSets,ch4t-test-000982,6,-0.208889,-0.396221,0.451078,1.270000,1.267087,2.242035,-7.182024,-7.027992,8.327e-17
DeepSets,ch4t-test-000983,8,0.462090,0.129104,-0.008448,0.225656,1.095050,0.273637,-5.302391,-5.885137,0.000e+00
DeepSets,ch4t-test-000984,6,0.178348,0.293825,0.198309,0.441769,0.660185,0.637489,-5.080433,-5.750914,0.000e+00
DeepSets,ch4t-test-000985,8,1.812890,0.379894,-0.873238,0.860338,0.871216,1.473360,-6.054839,-7.374386,0.000e+00
DeepSets,ch4t-test-000986,5,0.629417,0.364594,-0.148724,0.248951,-0.107532,0.492715,-4.364091,-5.209378,0.000e+00
DeepSets,ch4t-test-000987,7,-1.282689,-1.928945,-1.102864,0.038258,0.911076,0.391980,-10.718763,-6.404264,0.000e+00
DeepSets,ch4t-test-000988,7,0.097019,0.057673,0.112408,0.014790,0.261641,0.204901,-8.153586,-8.420686,0.000e+00
DeepSets,ch4t-test-000989,4,0.001941,0.346350,-0.008921,0.015662,-0.835518,0.120724,-7.727938,-8.067308,0.000e+00
DeepSets,ch4t-test-000990,8,-0.035946,0.714502,0.058978,-0.028895,-0.593903,0.138471,-10.813387,-11.550921,0.000e+00
DeepSets,ch4t-test-000991,7,0.711498,0.086144,-0.097628,1.009346,0.623061,0.409409,-4.002978,-4.702992,0.000e+00
DeepSets,ch4t-test-000992,8,0.741656,0.047226,-0.099619,1.912762,0.887114,0.930137,-7.335646,-8.024909,0.000e+00
DeepSets,ch4t-test-000993,5,-2.166213,-1.989201,1.637204,1.019716,0.752431,1.334977,-11.427539,-8.909328,0.000e+00
DeepSets,ch4t-test-000994,8,1.879927,0.591253,-0.487267,0.492251,0.862038,0.543961,-3.885129,-5.869042,0.000e+00
DeepSets,ch4t-test-000995,4,0.152882,-0.145835,-0.174545,1.425160,0.968205,0.474409,-9.330345,-9.162847,2.776e-17
DeepSets,ch4t-test-000996,5,1.779904,-0.369696,-0.430784,0.374509,-1.368663,0.286328,-3.915374,-4.894797,2.220e-16
DeepSets,ch4t-test-000997,7,0.518768,0.040954,0.527368,0.898371,0.828295,1.052754,-4.269583,-5.356674,2.220e-16
DeepSets,ch4t-test-000998,7,1.605405,0.092153,-0.207498,0.327186,0.747785,0.236302,-4.207076,-5.697136,0.000e+00
DeepSets,ch4t-test-000999,8,1.545684,-0.161036,-0.188126,2.032808,1.189924,0.793090,-4.778021,-5.974542,0.000e+00
