model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,featval_source_evidence,featval_sensor_visibility,featval_wind_error_sensitivity,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000000,6,0.339310,-0.062955,0.479978,0.637727,0.664518,1.363644,-4.130918,-4.887250,0.000e+00
DeepSets,ch4t-test-000001,4,-0.043671,-0.113098,0.161181,0.942629,0.220189,1.585843,-6.355829,-6.360242,2.776e-17
DeepSets,ch4t-test-000002,6,4.118458,-1.159794,-1.176837,2.151335,-0.560630,1.432217,-2.850417,-4.632244,0.000e+00
DeepSets,ch4t-test-000003,5,1.819680,-0.004753,-0.569568,0.809028,-0.470753,1.020843,-3.254283,-4.499642,2.220e-16
DeepSets,ch4t-test-000004,6,1.686137,0.034992,-0.296835,0.420327,0.880178,0.402675,-3.994777,-5.419070,2.220e-16
DeepSets,ch4t-test-000005,6,0.732676,0.150878,0.137984,0.822973,0.133216,1.305014,-5.374080,-6.395618,0.000e+00
DeepSets,ch4t-test-000006,8,1.180568,-0.131481,0.094559,0.222705,-0.008838,0.434744,-3.635272,-4.778919,0.000e+00
DeepSets,ch4t-test-000007,5,4.705552,-1.394644,-0.357235,0.228273,-1.132776,0.189003,-2.150835,-5.104508,8.882e-16
DeepSets,ch4t-test-000008,6,0.340387,0.366410,-0.076588,0.131892,0.855553,0.159724,-6.792920,-7.423129,0.000e+00
DeepSets,ch4t-test-000009,4,0.804703,0.248607,-0.583058,0.845038,-0.812864,1.616322,-5.896760,-6.367013,0.000e+00
DeepSets,ch4t-test-000010,6,0.986264,0.470127,0.398119,0.641779,0.819704,0.987655,-5.458237,-7.312747,0.000e+00
DeepSets,ch4t-test-000011,6,0.001117,-1.008782,0.358202,0.057311,0.003176,0.119267,-9.822064,-9.172602,1.110e-16
DeepSets,ch4t-test-000012,5,-0.754962,-0.392140,0.619603,0.104189,0.600659,0.220905,-7.574084,-7.046585,0.000e+00
DeepSets,ch4t-test-000013,6,0.807849,-0.157428,-0.273456,0.848507,0.965370,0.295609,-4.217266,-4.594231,5.551e-17
DeepSets,ch4t-test-000014,4,-0.012501,-0.556704,0.857363,0.608296,-0.519051,1.616750,-7.206943,-7.495101,1.110e-16
DeepSets,ch4t-test-000015,6,0.388509,0.774417,-0.125087,0.135779,0.968994,0.264520,-5.986496,-7.024335,0.000e+00
DeepSets,ch4t-test-000016,5,0.367172,-0.212707,-0.053446,-0.007097,0.094556,0.135593,-7.670065,-7.771084,2.776e-17
DeepSets,ch4t-test-000017,4,-0.127359,0.020180,-0.051291,0.002190,0.315155,0.162276,-8.300548,-8.142078,0.000e+00
DeepSets,ch4t-test-000018,7,0.472595,0.132611,0.146055,-0.007181,1.136367,0.161802,-7.836777,-8.588038,0.000e+00
DeepSets,ch4t-test-000019,4,-0.075452,-0.002365,-0.033516,0.026335,-0.439010,0.124335,-6.944874,-6.833541,2.776e-17
DeepSets,ch4t-test-000020,4,0.477232,0.435796,-0.118468,0.151752,0.730750,0.236036,-7.378715,-8.173275,0.000e+00
DeepSets,ch4t-test-000021,6,1.076553,0.354144,-0.275149,0.503223,0.907480,0.936137,-4.750060,-5.905609,0.000e+00
DeepSets,ch4t-test-000022,8,0.280073,0.179646,-0.075303,0.274381,0.027776,0.705825,-6.667671,-7.052088,0.000e+00
DeepSets,ch4t-test-000023,4,0.684835,-0.056665,0.105676,0.146635,0.656145,0.652743,-10.883783,-11.617629,2.220e-16
DeepSets,ch4t-test-000024,6,0.275793,-0.099581,-0.082518,0.148495,1.096784,0.445498,-8.192400,-8.286093,2.776e-17
DeepSets,ch4t-test-000025,7,1.944752,0.559778,-0.206075,0.182088,1.061471,0.197966,-4.161438,-6.459892,4.441e-16
DeepSets,ch4t-test-000026,7,1.692320,0.533377,-1.124723,1.387166,1.025204,1.564768,-5.020928,-6.121902,0.000e+00
DeepSets,ch4t-test-000027,6,0.152474,0.564495,0.126315,0.048287,0.974289,0.170442,-7.320358,-8.163642,1.110e-16
DeepSets,ch4t-test-000028,6,-0.537267,-0.564549,0.810001,0.665027,-0.454109,1.086724,-6.926512,-6.634696,1.110e-16
DeepSets,ch4t-test-000029,7,2.520170,-0.194928,-0.158472,1.445491,0.056826,0.503572,-3.818838,-5.985609,4.441e-16
DeepSets,ch4t-test-000030,8,1.213051,0.005902,-0.133062,0.774808,-0.045212,1.356714,-5.104599,-6.190490,2.220e-16
DeepSets,ch4t-test-000031,6,0.327652,-0.280862,0.453875,0.044923,-1.487200,0.211424,-7.192249,-7.692914,0.000e+00
DeepSets,ch4t-test-000032,4,0.029287,0.678617,0.042425,0.006030,-0.688190,0.160025,-6.727061,-7.477389,0.000e+00
DeepSets,ch4t-test-000033,6,1.699458,0.019023,-0.195744,0.783479,0.813890,0.357113,-4.781465,-6.304202,0.000e+00
DeepSets,ch4t-test-000034,4,-0.206584,0.594342,-0.059268,-0.071173,-0.949594,0.121747,-7.755792,-8.084281,0.000e+00
DeepSets,ch4t-test-000035,7,0.431671,0.070691,0.644226,0.177598,-0.197380,1.109773,-4.594049,-5.740636,0.000e+00
DeepSets,ch4t-test-000036,5,0.472429,0.320006,0.085594,0.110581,0.900375,0.128937,-5.979215,-6.857243,0.000e+00
DeepSets,ch4t-test-000037,4,2.869365,-0.395237,-0.565924,1.248310,0.070080,0.515026,-3.236270,-5.144475,0.000e+00
DeepSets,ch4t-test-000038,6,1.514825,-0.156717,-0.606908,1.005406,1.273039,0.962400,-4.756288,-5.507490,2.220e-16
DeepSets,ch4t-test-000039,7,-0.002175,0.365301,0.012024,-0.019889,-0.314319,0.146824,-5.226917,-5.602066,5.551e-17
DeepSets,ch4t-test-000040,8,0.750966,0.156588,-0.051776,1.190629,1.099744,1.020201,-4.883717,-5.739496,0.000e+00
DeepSets,ch4t-test-000041,5,0.704479,0.235122,-0.085114,0.441565,0.608848,0.285420,-4.251231,-5.105719,1.110e-16
DeepSets,ch4t-test-000042,8,1.542449,0.260690,-0.412085,0.607313,1.242851,0.780375,-4.971353,-6.362407,0.000e+00
DeepSets,ch4t-test-000043,4,0.393443,0.138552,-0.101228,0.356117,0.786860,0.255857,-5.637852,-6.068618,0.000e+00
DeepSets,ch4t-test-000044,7,0.224317,0.258715,-0.224045,0.324798,1.201926,0.353734,-5.134052,-5.393039,0.000e+00
DeepSets,ch4t-test-000045,8,1.420575,-0.227719,-0.228746,0.829803,0.281951,0.759054,-4.150756,-5.114866,1.110e-16
DeepSets,ch4t-test-000046,5,1.933633,0.181444,-0.428215,0.528584,0.883876,0.476107,-6.709566,-8.396427,0.000e+00
DeepSets,ch4t-test-000047,6,1.433223,0.012150,-0.190093,0.574687,0.685920,0.326932,-4.026758,-5.282037,0.000e+00
DeepSets,ch4t-test-000048,4,-0.332301,0.833531,-0.142286,0.071165,-0.270524,0.150743,-6.597414,-6.956358,1.110e-16
DeepSets,ch4t-test-000049,6,-0.070214,0.010713,-0.078781,1.720491,0.794219,0.835400,-5.338547,-5.200265,0.000e+00
DeepSets,ch4t-test-000050,4,-0.019132,1.150036,-0.128668,-0.012735,0.653175,0.185250,-6.794637,-7.796873,2.220e-16
DeepSets,ch4t-test-000051,7,1.381299,0.301253,-0.281738,0.710205,0.614021,0.790576,-4.308295,-5.709109,2.220e-16
DeepSets,ch4t-test-000052,8,-0.052471,1.560448,-0.147574,0.002435,0.469011,0.146897,-6.863940,-8.224343,0.000e+00
DeepSets,ch4t-test-000053,4,0.036833,0.458148,0.072355,-0.020594,0.055872,0.206872,-7.920255,-8.487592,0.000e+00
DeepSets,ch4t-test-000054,8,0.410010,0.282881,0.144022,0.708025,1.001874,1.445844,-5.791677,-6.628589,0.000e+00
DeepSets,ch4t-test-000055,4,4.475921,-0.386867,-0.928837,2.206846,-0.308185,2.058204,-3.724742,-6.884959,4.441e-16
DeepSets,ch4t-test-000056,5,0.317451,-0.142041,0.235617,0.984436,0.482682,0.994610,-5.560307,-5.971334,0.000e+00
DeepSets,ch4t-test-000057,4,0.226522,-0.248464,0.418766,0.230107,0.312627,1.003222,-7.226346,-7.623170,0.000e+00
DeepSets,ch4t-test-000058,5,1.243493,-0.177682,-0.330141,1.196683,0.617740,1.215520,-7.232534,-7.968204,0.000e+00
DeepSets,ch4t-test-000059,4,0.005002,-0.078869,0.028528,0.016043,-1.533170,0.158207,-9.979553,-9.934214,0.000e+00
DeepSets,ch4t-test-000060,6,0.142703,0.257784,0.514721,0.047523,1.183127,0.244018,-7.415584,-8.330792,1.110e-16
DeepSets,ch4t-test-000061,5,0.257070,0.003484,0.670100,0.065129,-0.249700,0.245986,-7.916551,-8.847206,2.220e-16
DeepSets,ch4t-test-000062,8,-0.122254,0.067392,-0.037802,0.749536,0.312699,0.293790,-6.336610,-6.243946,1.388e-17
DeepSets,ch4t-test-000063,5,0.024866,-0.556782,1.594627,0.332781,1.499720,1.154269,-7.206326,-8.269036,0.000e+00
DeepSets,ch4t-test-000064,6,1.306919,-0.228109,-0.111842,0.490175,0.027947,0.218182,-4.555446,-5.522413,0.000e+00
DeepSets,ch4t-test-000065,5,-0.270597,-0.105982,-0.387910,0.205555,-1.251043,0.359317,-11.294202,-10.529712,0.000e+00
DeepSets,ch4t-test-000066,5,-0.354152,-0.340370,0.230268,0.804769,0.298137,1.500450,-6.024636,-5.560383,0.000e+00
DeepSets,ch4t-test-000067,4,0.789038,0.098329,-0.182296,0.556890,0.594841,0.413796,-4.628256,-5.333326,1.110e-16
DeepSets,ch4t-test-000068,8,0.182189,0.070224,0.074672,0.560072,0.469245,0.706494,-5.880374,-6.207459,0.000e+00
DeepSets,ch4t-test-000069,6,2.410598,0.062716,-0.390422,0.604049,0.695678,0.560770,-4.118434,-6.201326,0.000e+00
DeepSets,ch4t-test-000070,5,0.598209,-0.028212,-0.171337,1.541777,1.016916,1.148200,-8.136718,-8.535378,0.000e+00
DeepSets,ch4t-test-000071,7,0.471436,0.257736,-0.056965,0.192022,0.863871,0.162562,-6.954883,-7.627090,0.000e+00
DeepSets,ch4t-test-000072,8,0.026430,-0.403135,0.512779,0.183500,0.549266,0.488613,-6.853016,-6.989091,5.551e-17
DeepSets,ch4t-test-000073,6,-0.098427,-0.283216,0.170277,0.275711,1.188980,0.677568,-7.714936,-7.503570,0.000e+00
DeepSets,ch4t-test-000074,7,-0.022587,0.393122,-0.003877,0.002488,-0.326851,0.157191,-7.649280,-8.015938,5.551e-17
DeepSets,ch4t-test-000075,7,-0.223796,-0.350898,-0.217740,0.383942,1.113221,0.481757,-9.509996,-8.717562,0.000e+00
DeepSets,ch4t-test-000076,6,0.743447,0.010722,-0.147985,0.156547,0.705494,0.195439,-5.795808,-6.401993,0.000e+00
DeepSets,ch4t-test-000077,5,0.311193,0.116032,-0.107722,0.630672,0.871787,0.370245,-4.571644,-4.891147,5.551e-17
DeepSets,ch4t-test-000078,8,1.330244,-0.201168,-0.368420,0.725403,0.733553,0.479713,-5.276616,-6.037272,0.000e+00
DeepSets,ch4t-test-000079,7,1.459366,0.173124,-0.935504,0.516051,0.981980,0.871642,-5.876349,-6.573335,0.000e+00
DeepSets,ch4t-test-000080,5,1.168005,-0.339321,0.207647,0.483552,-0.443648,1.047347,-4.740973,-5.777304,0.000e+00
DeepSets,ch4t-test-000081,8,2.754204,0.282512,-0.574596,2.021182,0.170791,2.419411,-4.787459,-7.249580,8.882e-16
DeepSets,ch4t-test-000082,5,-0.510800,-0.468644,0.532377,0.781022,1.132888,1.438813,-6.808262,-6.361196,5.551e-17
DeepSets,ch4t-test-000083,8,1.540842,-0.073653,-0.067306,1.289708,0.865309,0.802364,-6.431664,-7.831546,0.000e+00
DeepSets,ch4t-test-000084,5,0.372608,0.059583,-0.070867,1.266439,1.240060,0.498064,-6.203170,-6.564495,0.000e+00
DeepSets,ch4t-test-000085,5,1.016094,0.108696,-0.182184,1.282775,0.285598,1.512181,-4.904531,-5.847137,0.000e+00
DeepSets,ch4t-test-000086,5,-0.861053,-0.849243,0.981857,0.629027,0.563564,1.774248,-9.163959,-8.435520,0.000e+00
DeepSets,ch4t-test-000087,4,-0.063995,-0.031294,0.551241,0.293601,-1.465554,0.661417,-6.683407,-7.139359,0.000e+00
DeepSets,ch4t-test-000088,5,0.067320,0.581107,0.261373,0.041218,0.904988,0.307530,-7.884527,-8.794327,1.110e-16
DeepSets,ch4t-test-000089,8,0.981470,0.105395,-0.345452,0.501296,1.212936,0.628711,-4.428775,-5.170187,1.110e-16
DeepSets,ch4t-test-000090,4,-0.364183,-0.237469,0.471227,0.661473,1.350764,2.048527,-9.074144,-8.943720,2.776e-17
DeepSets,ch4t-test-000091,6,0.015855,0.166727,-0.073768,-0.008475,-1.075688,0.140982,-7.198952,-7.307766,0.000e+00
DeepSets,ch4t-test-000092,4,0.253182,0.019188,-0.031170,0.405468,0.759218,0.243055,-6.051943,-6.293143,5.551e-17
DeepSets,ch4t-test-000093,6,0.747914,0.253809,-0.165147,0.519064,-0.468039,0.489895,-5.662242,-6.498817,1.110e-16
DeepSets,ch4t-test-000094,5,1.107560,0.309150,-0.134255,0.155166,0.605301,0.164914,-5.097511,-6.379967,0.000e+00
DeepSets,ch4t-test-000095,4,-0.318010,0.089567,0.003939,0.009689,0.801786,0.150566,-7.586926,-7.362422,5.551e-17
DeepSets,ch4t-test-000096,7,1.690335,0.035376,-0.351272,0.835135,0.366204,0.769006,-4.401728,-5.776168,0.000e+00
DeepSets,ch4t-test-000097,6,0.734625,0.014617,0.737029,0.870281,0.737424,1.960934,-3.571261,-5.057532,2.220e-16
DeepSets,ch4t-test-000098,8,-0.039239,0.346853,-0.033201,0.011887,-0.948919,0.095768,-11.310989,-11.585403,0.000e+00
DeepSets,ch4t-test-000099,6,0.048733,0.223231,0.061394,0.012492,0.773364,0.147097,-7.463467,-7.796825,0.000e+00
DeepSets,ch4t-test-000100,4,1.927661,-0.287073,-1.210942,0.846967,-0.694340,0.761889,-4.935766,-5.365412,1.110e-16
DeepSets,ch4t-test-000101,5,-0.061796,0.738706,0.028037,0.011587,0.076051,0.126212,-9.447634,-10.152581,0.000e+00
DeepSets,ch4t-test-000102,4,1.662896,0.375624,-0.581991,0.834086,0.460528,1.121487,-6.215035,-7.671564,2.220e-16
DeepSets,ch4t-test-000103,5,1.365145,-0.466937,-0.310643,0.860097,-0.908296,0.863958,-3.895910,-4.483475,1.110e-16
DeepSets,ch4t-test-000104,8,0.966315,0.295313,-0.324618,0.862176,0.874973,0.836113,-5.320786,-6.257796,2.220e-16
DeepSets,ch4t-test-000105,5,0.056324,0.657510,-0.084406,-0.030739,0.488907,0.162511,-7.812857,-8.442285,1.110e-16
DeepSets,ch4t-test-000106,6,-0.022614,1.839331,-0.034758,-0.052639,0.780734,0.138579,-6.997820,-8.779779,2.220e-16
DeepSets,ch4t-test-000107,7,2.369524,0.124125,-0.774673,1.200860,-0.125491,1.019110,-5.482027,-7.201003,0.000e+00
DeepSets,ch4t-test-000108,5,-0.017812,-0.094456,0.124449,0.717975,0.545101,1.435953,-5.715823,-5.728005,0.000e+00
DeepSets,ch4t-test-000109,6,2.171161,-0.036297,-0.269967,0.691233,0.923521,0.579096,-6.001544,-7.866441,2.220e-16
DeepSets,ch4t-test-000110,5,-0.061132,0.116210,-0.128520,0.018473,-2.252404,0.120192,-8.944844,-8.871402,2.776e-17
DeepSets,ch4t-test-000111,4,0.023642,0.281690,-0.076861,-0.025772,-0.896542,0.145953,-6.689888,-6.918360,0.000e+00
DeepSets,ch4t-test-000112,5,-0.004668,0.123049,-0.039399,0.001108,-1.895196,0.086061,-9.738565,-9.817547,0.000e+00
DeepSets,ch4t-test-000113,4,0.602694,0.178670,-0.131399,0.150001,-0.162470,0.214874,-6.991521,-7.641486,0.000e+00
DeepSets,ch4t-test-000114,7,0.237775,0.261879,0.030808,0.303263,0.798310,0.371703,-4.478884,-5.009346,0.000e+00
DeepSets,ch4t-test-000115,7,1.288554,-0.111858,-0.174920,0.677141,0.998348,0.339206,-4.491517,-5.493292,0.000e+00
DeepSets,ch4t-test-000116,6,0.440145,-0.013811,-0.087060,0.976388,0.906013,0.606898,-3.871328,-4.210602,0.000e+00
DeepSets,ch4t-test-000117,5,2.570099,-0.049678,-0.835410,0.839938,0.903607,0.945353,-3.889515,-5.574526,2.220e-16
DeepSets,ch4t-test-000118,4,0.525551,0.356397,-0.174749,0.420425,-0.460935,0.494524,-5.762372,-6.469571,0.000e+00
DeepSets,ch4t-test-000119,8,0.466301,-0.167249,-0.035580,0.089477,0.730241,0.196678,-6.710189,-6.973662,5.551e-17
DeepSets,ch4t-test-000120,4,0.048011,0.129777,-0.008365,0.522779,0.588032,0.225695,-5.325476,-5.494899,0.000e+00
DeepSets,ch4t-test-000121,7,3.202255,-0.428964,-0.429049,1.619961,0.800971,0.705940,-3.431917,-5.776159,4.441e-16
DeepSets,ch4t-test-000122,7,0.726911,0.219484,-0.230286,0.362482,0.771682,0.342589,-4.057802,-4.773911,0.000e+00
DeepSets,ch4t-test-000123,5,0.040474,1.463010,0.096665,-0.006038,0.891297,0.206314,-4.794263,-6.394412,0.000e+00
DeepSets,ch4t-test-000124,7,-0.227839,1.058386,0.154664,-0.006890,0.715249,0.192234,-7.148027,-8.133238,0.000e+00
DeepSets,ch4t-test-000125,6,2.304845,0.151473,-0.326708,1.489372,0.883856,0.812218,-5.070084,-7.199694,4.441e-16
DeepSets,ch4t-test-000126,5,-1.177477,-0.503104,0.233925,0.300124,0.505599,0.791930,-7.499036,-6.052380,0.000e+00
DeepSets,ch4t-test-000127,5,-0.010853,0.889263,-0.078480,-0.022296,0.000968,0.151439,-7.514694,-8.314623,1.110e-16
DeepSets,ch4t-test-000128,5,1.911628,0.254047,-0.869930,1.332145,-0.221526,1.420843,-6.224759,-7.520504,0.000e+00
DeepSets,ch4t-test-000129,4,0.854966,-0.000314,-0.221839,1.865524,0.116365,1.292240,-5.627910,-6.260723,1.110e-16
DeepSets,ch4t-test-000130,5,1.103499,0.576127,-0.005161,0.332390,1.127849,0.314508,-6.218259,-7.892724,2.220e-16
DeepSets,ch4t-test-000131,8,-0.090846,0.231285,0.311013,-0.019865,0.418054,0.125733,-7.822719,-8.274172,0.000e+00
DeepSets,ch4t-test-000132,6,0.762305,0.252267,0.181746,0.487462,1.088439,0.882725,-4.056857,-5.253175,0.000e+00
DeepSets,ch4t-test-000133,4,0.871323,0.180982,-0.140214,1.136990,0.427413,2.531168,-5.473181,-6.385273,0.000e+00
DeepSets,ch4t-test-000134,5,2.008114,0.122400,-1.052921,1.267704,-0.014575,1.501776,-5.542497,-6.620089,0.000e+00
DeepSets,ch4t-test-000135,5,-0.000511,0.128584,-0.035985,0.000708,-2.454479,0.068311,-8.125156,-8.217244,1.388e-17
DeepSets,ch4t-test-000136,6,0.374296,0.465934,0.082422,0.006802,0.996821,0.130481,-6.158409,-7.081061,0.000e+00
DeepSets,ch4t-test-000137,8,-0.015165,0.188134,-0.040200,0.024784,-0.685556,0.124916,-6.931149,-7.063919,0.000e+00
DeepSets,ch4t-test-000138,8,3.894178,-0.927010,-0.719556,1.712315,0.742700,0.647193,-4.102017,-6.349629,4.441e-16
DeepSets,ch4t-test-000139,8,1.867218,0.038178,-0.561378,0.860183,0.272092,0.845399,-3.837645,-5.181663,0.000e+00
DeepSets,ch4t-test-000140,8,-0.000126,0.198257,-0.078886,-0.010803,-0.462188,0.151448,-6.674034,-6.793278,1.388e-17
DeepSets,ch4t-test-000141,5,-0.096783,-0.237535,0.719571,0.406076,0.386317,0.829625,-8.390499,-8.775752,5.551e-17
DeepSets,ch4t-test-000142,7,-0.005132,1.043641,-0.028114,-0.027470,0.314697,0.170071,-6.291426,-7.301822,0.000e+00
DeepSets,ch4t-test-000143,4,-0.124339,-0.095528,0.471100,0.688323,1.225378,2.204549,-7.818858,-8.070092,0.000e+00
DeepSets,ch4t-test-000144,8,0.136379,0.349217,-0.087977,0.826366,0.970222,0.347799,-8.295142,-8.692761,0.000e+00
DeepSets,ch4t-test-000145,7,1.667039,0.400391,-0.380288,1.151877,0.840056,1.527928,-4.127186,-5.814327,2.220e-16
DeepSets,ch4t-test-000146,8,1.233740,0.403588,-0.551499,0.613945,0.751424,0.950579,-3.643155,-4.728983,2.220e-16
DeepSets,ch4t-test-000147,7,2.026619,0.015822,-0.225194,1.266702,0.969757,0.424647,-3.603238,-5.420484,0.000e+00
DeepSets,ch4t-test-000148,8,1.912433,-0.151849,-0.493113,0.604457,1.253756,0.358226,-3.406725,-4.674197,4.441e-16
DeepSets,ch4t-test-000149,5,-0.084778,1.138349,-0.186907,0.008786,-0.251495,0.187600,-6.184520,-7.051183,0.000e+00
DeepSets,ch4t-test-000150,7,1.501282,-0.326006,-0.277265,1.289929,0.257635,1.009907,-4.700376,-5.598386,0.000e+00
DeepSets,ch4t-test-000151,7,0.532500,-0.125632,0.432300,0.132304,0.490844,0.463372,-5.804969,-6.644137,2.220e-16
DeepSets,ch4t-test-000152,6,0.356809,0.263625,0.109522,0.422392,0.951053,0.648676,-5.452417,-6.182374,0.000e+00
DeepSets,ch4t-test-000153,8,0.113982,-0.063952,0.309115,0.033191,-0.168538,0.247991,-7.996218,-8.355363,5.551e-17
DeepSets,ch4t-test-000154,7,1.527871,0.742061,-0.771857,0.849335,1.358068,1.507704,-3.518465,-5.016540,0.000e+00
DeepSets,ch4t-test-000155,6,0.846686,0.405238,0.036283,0.352848,0.531641,0.488679,-6.189225,-7.477432,0.000e+00
DeepSets,ch4t-test-000156,5,0.116440,-1.253909,0.059843,-0.002633,0.007231,0.105400,-10.057188,-8.979561,0.000e+00
DeepSets,ch4t-test-000157,7,0.457397,0.094554,0.330322,0.614728,0.627848,0.810141,-4.299862,-5.182136,0.000e+00
DeepSets,ch4t-test-000158,7,0.056116,0.630535,-0.081145,-0.029965,-0.306085,0.155351,-7.779746,-8.385251,0.000e+00
DeepSets,ch4t-test-000159,4,0.922510,0.126711,-0.547423,0.896732,1.128101,1.169021,-5.089882,-5.591680,0.000e+00
DeepSets,ch4t-test-000160,7,0.543607,0.109331,-0.149455,0.943115,0.894718,0.452199,-5.385857,-5.889339,0.000e+00
DeepSets,ch4t-test-000161,5,0.515363,0.586622,0.212932,0.100983,-0.238550,0.289722,-6.732470,-8.047387,2.220e-16
DeepSets,ch4t-test-000162,6,1.016441,0.617950,-1.241340,1.541945,0.555960,2.266140,-7.354231,-7.747282,1.110e-16
DeepSets,ch4t-test-000163,8,0.133613,0.106382,0.001414,0.406298,0.935921,0.264401,-5.081194,-5.322603,0.000e+00
DeepSets,ch4t-test-000164,7,-1.726780,-1.718702,1.869293,0.264853,0.888645,0.836251,-7.526272,-5.950083,2.220e-16
DeepSets,ch4t-test-000165,5,1.949218,0.346960,-1.274298,0.980242,-0.073433,1.066509,-5.975913,-6.997793,0.000e+00
DeepSets,ch4t-test-000166,6,0.409893,-1.402851,0.310432,0.047643,0.284502,0.135686,-8.956721,-8.274195,2.220e-16
DeepSets,ch4t-test-000167,8,1.334936,0.429307,-0.463579,0.439763,1.200719,0.357958,-6.075641,-7.376305,0.000e+00
DeepSets,ch4t-test-000168,8,0.712093,-0.076262,-0.168695,0.519978,-0.834400,0.675061,-5.334180,-5.801316,5.551e-17
DeepSets,ch4t-test-000169,4,-0.252804,-0.130822,0.341956,0.717756,1.158638,0.792510,-6.074814,-6.033144,2.776e-17
DeepSets,ch4t-test-000170,7,1.037360,-0.141205,0.011432,0.147843,-0.960886,0.242404,-7.076323,-7.983911,2.220e-16
DeepSets,ch4t-test-000171,5,0.029745,0.299206,0.030782,-0.062067,-0.719985,0.195609,-9.039198,-9.398931,0.000e+00
DeepSets,ch4t-test-000172,4,0.820963,0.134655,-0.167539,0.349850,0.848681,0.238790,-5.679391,-6.467470,0.000e+00
DeepSets,ch4t-test-000173,8,0.995367,0.152654,-0.688505,0.311811,0.790863,0.608538,-7.691607,-8.151123,1.110e-16
DeepSets,ch4t-test-000174,7,1.155930,0.101641,-0.317459,0.553963,1.162433,0.399867,-5.065449,-6.005561,0.000e+00
DeepSets,ch4t-test-000175,7,0.033555,0.203461,-0.077556,-0.006765,-1.061258,0.158236,-7.944695,-8.104155,0.000e+00
DeepSets,ch4t-test-000176,6,1.518123,-0.224108,-0.180712,1.776281,0.565600,0.842504,-6.059197,-7.172499,2.220e-16
DeepSets,ch4t-test-000177,5,1.207259,-0.104623,-0.241842,0.749463,0.379426,0.619752,-5.785489,-6.646283,0.000e+00
DeepSets,ch4t-test-000178,4,-0.025998,0.032895,-0.027434,0.014340,-1.092262,0.108223,-7.610524,-7.589987,6.939e-18
DeepSets,ch4t-test-000179,8,-0.069906,0.572984,-0.057426,0.057476,0.390181,0.195714,-7.661312,-8.106965,0.000e+00
DeepSets,ch4t-test-000180,8,0.360098,-0.265638,-0.289826,1.193091,0.640527,1.040448,-7.171974,-6.976608,0.000e+00
DeepSets,ch4t-test-000181,7,-0.030773,1.108147,-0.028218,-0.006844,0.568225,0.136399,-5.823111,-6.872267,2.220e-16
DeepSets,ch4t-test-000182,7,0.749425,0.441895,-0.901413,1.001284,1.060816,2.098558,-4.618074,-4.907982,1.110e-16
DeepSets,ch4t-test-000183,4,0.793971,0.499729,0.077941,0.644103,0.661123,1.183275,-9.122575,-10.494216,0.000e+00
DeepSets,ch4t-test-000184,4,0.396757,-0.203768,0.502409,1.155972,0.462076,2.050726,-7.365249,-8.060646,0.000e+00
DeepSets,ch4t-test-000185,5,1.628644,0.261982,-0.538361,0.437964,-0.078383,0.891692,-2.948493,-4.300759,2.220e-16
DeepSets,ch4t-test-000186,6,1.179358,0.573358,-0.508227,0.409584,0.915941,1.051373,-4.542888,-5.787378,0.000e+00
DeepSets,ch4t-test-000187,7,-0.016718,0.813000,-0.016717,-0.024115,0.442298,0.159203,-7.005484,-7.785050,1.110e-16
DeepSets,ch4t-test-000188,7,0.618136,0.224631,0.384883,0.111243,0.586439,0.131723,-5.921846,-7.149497,0.000e+00
DeepSets,ch4t-test-000189,5,1.400234,-0.131142,-0.518223,0.473742,0.407833,1.332659,-6.775329,-7.526198,1.110e-16
DeepSets,ch4t-test-000190,6,1.329046,0.605927,-1.196782,1.123982,1.030450,2.309802,-4.257138,-4.995328,1.110e-16
DeepSets,ch4t-test-000191,6,1.656902,0.466231,-0.744496,0.416115,0.951214,1.003964,-2.972978,-4.351616,0.000e+00
DeepSets,ch4t-test-000192,5,0.312939,0.314170,0.220992,0.002470,-0.159227,0.193789,-9.146111,-9.994212,1.110e-16
DeepSets,ch4t-test-000193,4,1.170966,-0.213505,-0.091722,0.243030,0.372971,0.239132,-4.334346,-5.200084,0.000e+00
DeepSets,ch4t-test-000194,6,3.071172,0.709392,-1.302524,1.561204,1.088773,1.999256,-6.735929,-9.213968,0.000e+00
DeepSets,ch4t-test-000195,4,-0.071974,0.434333,-0.052801,0.023891,0.042883,0.186576,-8.002543,-8.312103,0.000e+00
DeepSets,ch4t-test-000196,6,-0.247583,-0.034467,0.321560,0.254938,1.311103,0.581727,-10.193803,-10.233314,1.388e-17
DeepSets,ch4t-test-000197,4,-0.134926,1.812858,-0.265819,-0.017830,0.973586,0.189316,-7.154293,-8.566406,0.000e+00
DeepSets,ch4t-test-000198,4,-0.683547,-0.650116,-0.063239,0.565812,0.136705,1.511737,-7.543701,-6.146799,0.000e+00
DeepSets,ch4t-test-000199,7,-0.438143,0.236591,-0.224106,0.057411,0.502130,0.144078,-8.778705,-8.353047,5.551e-17
DeepSets,ch4t-test-000200,6,2.381294,0.083207,0.053448,1.429532,0.921804,0.453597,-3.644539,-6.162488,4.441e-16
DeepSets,ch4t-test-000201,5,-0.567963,-0.710611,0.788859,0.442939,0.629333,1.073459,-9.220233,-8.730517,1.110e-16
