model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,shapley_fit_quality,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000749,9,-0.105900,0.461933,0.000310,-0.149747,-7.515443,-7.722039,2.776e-17
DeepSets,ch4t-test-000750,11,1.621343,0.237394,0.617782,-0.115761,-5.490360,-7.851117,0.000e+00
DeepSets,ch4t-test-000751,7,0.896270,0.108417,0.798856,0.114119,-5.888582,-7.806243,2.220e-16
DeepSets,ch4t-test-000752,8,1.006533,0.141438,0.441688,-0.331300,-6.597711,-7.856070,2.220e-16
DeepSets,ch4t-test-000753,10,1.220892,-0.501954,0.345894,0.432545,-6.299546,-7.796923,0.000e+00
DeepSets,ch4t-test-000754,12,0.027222,1.866349,-0.014740,0.062806,-6.035481,-7.977118,0.000e+00
DeepSets,ch4t-test-000755,5,0.012591,0.989676,0.165935,0.052005,-6.027377,-7.247584,0.000e+00
DeepSets,ch4t-test-000756,11,3.364081,0.150259,-0.421839,0.491635,-4.011091,-7.595227,4.441e-16
DeepSets,ch4t-test-000757,5,1.447189,-0.707789,1.383899,-0.481207,-6.160333,-7.802425,2.220e-16
DeepSets,ch4t-test-000758,6,-0.072644,-0.987627,1.255893,-0.316826,-7.748856,-7.627652,0.000e+00
DeepSets,ch4t-test-000759,6,1.488575,0.755728,0.824904,0.492278,-3.532914,-7.094398,0.000e+00
DeepSets,ch4t-test-000760,4,1.303991,1.292786,0.778948,0.259312,-4.062109,-7.697146,4.441e-16
DeepSets,ch4t-test-000761,12,0.330692,1.508769,0.181579,-0.053908,-5.878996,-7.846128,0.000e+00
DeepSets,ch4t-test-000762,8,3.298224,1.002605,-0.541785,0.769333,-3.073637,-7.602014,0.000e+00
DeepSets,ch4t-test-000763,12,1.447597,0.803684,1.175564,-0.153210,-5.119341,-8.392976,4.441e-16
DeepSets,ch4t-test-000764,7,0.333719,-0.270860,0.662041,0.439972,-6.243897,-7.408769,2.220e-16
DeepSets,ch4t-test-000765,11,1.251610,1.726322,0.309305,0.512883,-4.188556,-7.988676,0.000e+00
DeepSets,ch4t-test-000766,5,-0.014310,0.829666,-0.042869,0.040748,-7.468387,-8.281622,1.110e-16
DeepSets,ch4t-test-000767,6,2.418179,0.001028,-0.122691,0.272786,-5.349753,-7.919056,8.882e-16
DeepSets,ch4t-test-000768,7,0.182246,0.954910,0.502082,-0.153590,-6.614655,-8.100303,2.220e-16
DeepSets,ch4t-test-000769,8,2.956406,0.395728,-0.593901,0.093737,-5.214862,-8.066832,0.000e+00
DeepSets,ch4t-test-000770,7,5.209742,-1.827885,-1.319031,0.678098,-5.075645,-7.816570,4.441e-16
DeepSets,ch4t-test-000771,11,2.884865,0.440143,0.155484,0.650392,-3.589156,-7.720040,8.882e-16
DeepSets,ch4t-test-000772,4,0.041419,-0.180234,0.132452,-0.087819,-7.850235,-7.756054,1.388e-17
DeepSets,ch4t-test-000773,4,-0.026293,0.103195,-0.182847,0.138801,-8.206232,-8.239089,0.000e+00
DeepSets,ch4t-test-000774,9,2.420249,-1.000968,2.408550,-0.002085,-3.799781,-7.625527,4.441e-16
DeepSets,ch4t-test-000775,12,6.892261,-1.991427,-1.736179,1.087626,-3.389684,-7.641965,0.000e+00
DeepSets,ch4t-test-000776,11,-0.093907,1.266144,-0.278730,0.327017,-6.115894,-7.336418,0.000e+00
DeepSets,ch4t-test-000777,12,3.225858,0.037930,1.027125,0.093649,-3.950346,-8.334909,8.882e-16
DeepSets,ch4t-test-000778,11,1.894295,0.881116,0.972202,0.607068,-3.618575,-7.973255,8.882e-16
DeepSets,ch4t-test-000779,12,0.186286,0.054254,0.764946,-0.452750,-7.278160,-7.830896,1.110e-16
DeepSets,ch4t-test-000780,6,-0.130159,-0.977597,1.044194,-0.157977,-8.663064,-8.441526,1.110e-16
DeepSets,ch4t-test-000781,7,1.072374,2.159068,0.799145,0.218501,-3.621898,-7.870987,0.000e+00
DeepSets,ch4t-test-000782,10,0.575388,1.069044,0.392176,0.461049,-5.901015,-8.398671,0.000e+00
DeepSets,ch4t-test-000783,12,2.069192,-0.370808,1.326465,0.856150,-4.242977,-8.123976,4.441e-16
DeepSets,ch4t-test-000784,10,1.495280,-0.724077,1.658770,-0.268750,-5.932670,-8.093893,4.441e-16
DeepSets,ch4t-test-000785,5,-0.001102,0.709668,0.019233,0.100409,-7.073727,-7.901935,0.000e+00
DeepSets,ch4t-test-000786,4,-0.056289,-0.462907,-0.042348,0.022360,-8.451414,-7.912230,1.110e-16
DeepSets,ch4t-test-000787,12,2.235293,0.781794,0.215093,0.646823,-3.947883,-7.826887,8.882e-16
DeepSets,ch4t-test-000788,10,0.289753,0.344804,0.436187,-0.038744,-6.738967,-7.770967,2.220e-16
DeepSets,ch4t-test-000789,6,0.042578,0.771853,0.452119,-0.051049,-7.015690,-8.231190,0.000e+00
DeepSets,ch4t-test-000790,10,1.531275,0.416463,1.596813,0.107469,-4.509094,-8.161114,4.441e-16
DeepSets,ch4t-test-000791,11,4.172073,0.761100,-1.227279,-0.125091,-4.548207,-8.129008,0.000e+00
DeepSets,ch4t-test-000792,7,2.213032,-0.116142,1.342265,0.349258,-3.824096,-7.612509,0.000e+00
DeepSets,ch4t-test-000793,10,3.872651,-1.038485,-1.330696,1.603555,-4.678317,-7.785341,0.000e+00
DeepSets,ch4t-test-000794,8,1.488776,0.543533,0.960782,0.123607,-4.813775,-7.930473,4.441e-16
DeepSets,ch4t-test-000795,4,-0.016356,0.388981,0.067672,0.151584,-6.335534,-6.927414,0.000e+00
DeepSets,ch4t-test-000796,11,4.329857,-0.339498,-0.117167,0.615818,-3.950512,-8.439521,0.000e+00
DeepSets,ch4t-test-000797,10,1.184290,1.124651,0.233864,0.622145,-5.083642,-8.248592,0.000e+00
DeepSets,ch4t-test-000798,12,2.473222,1.495437,0.620430,0.336687,-3.113237,-8.039012,0.000e+00
DeepSets,ch4t-test-000799,9,0.481249,0.029466,0.873276,0.019778,-6.450420,-7.854189,2.220e-16
DeepSets,ch4t-test-000800,4,0.045631,0.896880,0.361234,0.339374,-6.108820,-7.751939,0.000e+00
DeepSets,ch4t-test-000801,4,4.444311,-1.049175,-0.286741,1.096153,-3.556158,-7.760707,0.000e+00
DeepSets,ch4t-test-000802,9,-0.142085,0.101261,0.096980,0.019316,-7.716557,-7.792030,0.000e+00
DeepSets,ch4t-test-000803,6,1.717165,0.078164,0.787959,0.438673,-4.981703,-8.003664,0.000e+00
DeepSets,ch4t-test-000804,5,0.224539,-0.500527,1.417614,-1.115272,-7.954922,-7.981275,4.441e-16
DeepSets,ch4t-test-000805,5,-0.124793,0.635983,-0.162092,-0.101647,-8.614183,-8.861633,8.327e-17
DeepSets,ch4t-test-000806,8,2.215052,0.229725,0.400110,0.967885,-4.307997,-8.120769,0.000e+00
DeepSets,ch4t-test-000807,4,-0.312355,0.844521,-0.556276,0.248745,-8.269531,-8.494165,2.776e-17
DeepSets,ch4t-test-000808,9,2.000252,0.594648,0.636946,0.480266,-4.274185,-7.986297,0.000e+00
DeepSets,ch4t-test-000809,11,0.003782,1.012322,-0.017562,0.168634,-6.301296,-7.468473,0.000e+00
DeepSets,ch4t-test-000810,10,2.643824,-0.126507,0.247276,0.635770,-4.620381,-8.020743,0.000e+00
DeepSets,ch4t-test-000811,6,-0.079822,0.931897,-0.209658,-0.044029,-7.431084,-8.029473,1.110e-16
DeepSets,ch4t-test-000812,4,1.070308,-0.068436,1.446547,0.186282,-5.711660,-8.346360,0.000e+00
DeepSets,ch4t-test-000813,4,1.531780,0.354226,0.242542,0.826910,-5.366361,-8.321819,0.000e+00
DeepSets,ch4t-test-000814,10,2.565175,0.229041,0.963085,0.521095,-3.399110,-7.677506,0.000e+00
DeepSets,ch4t-test-000815,12,1.191999,0.643208,0.393329,0.278302,-5.217056,-7.723893,0.000e+00
DeepSets,ch4t-test-000816,6,-1.576397,-1.801936,1.180146,1.311287,-8.824277,-7.937376,4.441e-16
DeepSets,ch4t-test-000817,4,0.215793,1.470769,-0.219498,-0.036964,-6.737612,-8.167711,0.000e+00
DeepSets,ch4t-test-000818,9,0.830392,0.591872,0.280784,0.646964,-5.600304,-7.950317,0.000e+00
DeepSets,ch4t-test-000819,9,3.539069,-0.127404,-0.684658,1.352296,-3.727969,-7.807273,8.882e-16
DeepSets,ch4t-test-000820,6,1.461564,0.607871,0.078077,0.770854,-4.936206,-7.854572,0.000e+00
DeepSets,ch4t-test-000821,6,0.832677,0.860556,1.008052,0.196927,-4.810798,-7.709011,0.000e+00
DeepSets,ch4t-test-000822,6,0.750960,0.352078,0.128047,0.547216,-6.115876,-7.894178,0.000e+00
DeepSets,ch4t-test-000823,9,1.997061,-0.216227,0.578031,0.717093,-4.395455,-7.471415,0.000e+00
DeepSets,ch4t-test-000824,9,2.306617,0.801582,1.163242,0.227596,-3.745393,-8.244431,0.000e+00
DeepSets,ch4t-test-000825,4,2.740151,-0.474600,1.534304,0.601814,-3.827978,-8.229647,8.882e-16
DeepSets,ch4t-test-000826,12,3.178686,-0.848638,1.625746,0.336293,-3.305202,-7.597290,0.000e+00
DeepSets,ch4t-test-000827,12,6.089563,-1.214734,-1.827478,0.905321,-4.117632,-8.070303,4.441e-16
DeepSets,ch4t-test-000828,8,0.650817,0.131144,0.403349,-0.413999,-7.751186,-8.522497,0.000e+00
DeepSets,ch4t-test-000829,11,4.063088,-1.206510,0.837862,0.391410,-3.631198,-7.717048,8.882e-16
DeepSets,ch4t-test-000830,12,1.660642,-0.584054,1.409828,-0.248228,-5.963328,-8.201516,0.000e+00
DeepSets,ch4t-test-000831,12,0.458339,-0.853695,0.727947,-0.585955,-8.302866,-8.049502,1.110e-16
DeepSets,ch4t-test-000832,6,2.238031,0.551186,0.893570,0.139192,-4.145130,-7.967109,0.000e+00
DeepSets,ch4t-test-000833,7,1.978122,1.005018,0.332999,0.591049,-4.217600,-8.124788,4.441e-16
DeepSets,ch4t-test-000834,10,-0.065403,-0.316440,0.179192,-0.141445,-8.317961,-7.973865,0.000e+00
DeepSets,ch4t-test-000835,12,-0.069946,1.259178,-0.079048,-0.280365,-6.749176,-7.578997,2.220e-16
DeepSets,ch4t-test-000836,7,0.467505,0.380479,0.380014,0.098885,-6.304257,-7.631140,0.000e+00
DeepSets,ch4t-test-000837,12,1.131428,-0.295135,0.825334,-0.301820,-6.611112,-7.970918,0.000e+00
DeepSets,ch4t-test-000838,5,1.608879,-0.537490,0.623499,0.284847,-6.027540,-8.007274,2.220e-16
DeepSets,ch4t-test-000839,11,6.479642,-1.622561,-1.532183,0.958453,-3.517257,-7.800607,8.882e-16
DeepSets,ch4t-test-000840,10,1.203481,0.325001,1.290952,0.166424,-4.786947,-7.772804,0.000e+00
DeepSets,ch4t-test-000841,6,1.257074,0.107610,0.705651,0.536160,-5.452311,-8.058806,4.441e-16
DeepSets,ch4t-test-000842,4,1.377612,-0.329255,1.377263,-0.326737,-5.562950,-7.661833,8.882e-16
DeepSets,ch4t-test-000843,5,2.122132,0.363472,0.726044,0.413947,-4.712685,-8.338280,4.441e-16
DeepSets,ch4t-test-000844,8,0.956454,1.000477,0.674657,0.729926,-5.069642,-8.431157,0.000e+00
DeepSets,ch4t-test-000845,10,5.737484,-0.924614,-1.503201,1.723880,-3.046486,-8.080035,0.000e+00
DeepSets,ch4t-test-000846,6,0.126672,-0.843794,0.151560,-0.117291,-8.586704,-7.903852,0.000e+00
DeepSets,ch4t-test-000847,9,2.635563,-0.414580,1.004161,-0.078653,-4.905630,-8.052121,4.441e-16
DeepSets,ch4t-test-000848,5,5.110861,-1.067030,-1.045489,0.663787,-4.252671,-7.914800,0.000e+00
DeepSets,ch4t-test-000849,8,1.490802,-1.608232,2.265719,-0.449910,-6.503223,-8.201601,0.000e+00
DeepSets,ch4t-test-000850,9,3.127784,-0.252993,0.640899,0.133146,-4.264649,-7.913486,0.000e+00
DeepSets,ch4t-test-000851,9,-0.224300,1.170676,-0.276381,0.336162,-6.664798,-7.670954,0.000e+00
DeepSets,ch4t-test-000852,7,-0.016100,0.527067,0.006969,0.149433,-6.853713,-7.521081,1.110e-16
DeepSets,ch4t-test-000853,9,0.666564,1.253024,0.011444,0.519663,-5.619508,-8.070203,0.000e+00
DeepSets,ch4t-test-000854,7,2.029578,0.305050,0.088431,0.775320,-4.766819,-7.965198,4.441e-16
DeepSets,ch4t-test-000855,11,5.533882,-1.197134,-1.196167,1.528795,-3.338722,-8.008098,8.882e-16
DeepSets,ch4t-test-000856,7,0.831306,-0.230658,0.784607,0.303799,-6.306844,-7.995899,0.000e+00
DeepSets,ch4t-test-000857,6,2.674631,0.620643,1.037217,-0.226672,-3.888889,-7.994708,8.882e-16
DeepSets,ch4t-test-000858,10,2.228845,0.159173,0.889724,0.511557,-4.487159,-8.276458,0.000e+00
DeepSets,ch4t-test-000859,5,1.170243,-0.607789,0.837118,0.184980,-6.243275,-7.827826,2.220e-16
DeepSets,ch4t-test-000860,11,0.764681,1.533275,1.198655,0.200222,-4.007383,-7.704216,0.000e+00
DeepSets,ch4t-test-000861,6,4.257830,-1.102470,-1.036656,1.335852,-4.774578,-8.229133,0.000e+00
DeepSets,ch4t-test-000862,6,0.489728,-0.061009,0.562236,-0.280265,-6.894014,-7.604704,0.000e+00
DeepSets,ch4t-test-000863,11,2.275484,-0.355960,1.011398,0.813221,-3.997798,-7.741940,0.000e+00
DeepSets,ch4t-test-000864,4,-0.000892,0.087589,-0.004040,0.366512,-7.550629,-7.999798,0.000e+00
DeepSets,ch4t-test-000865,9,2.001481,-0.106605,0.315923,0.322873,-5.203547,-7.737218,8.882e-16
DeepSets,ch4t-test-000866,12,2.347459,0.512771,0.307239,0.852664,-3.582524,-7.602656,8.882e-16
DeepSets,ch4t-test-000867,7,3.241811,-1.095310,1.587167,0.020455,-4.073714,-7.827837,0.000e+00
DeepSets,ch4t-test-000868,12,4.741459,-0.202526,-1.926028,0.871759,-4.286050,-7.770714,8.882e-16
DeepSets,ch4t-test-000869,6,3.332804,0.033517,0.964350,0.644164,-2.856815,-7.831650,0.000e+00
DeepSets,ch4t-test-000870,11,-0.045651,2.294444,-0.062750,-0.082824,-5.760564,-7.863783,4.441e-16
DeepSets,ch4t-test-000871,6,-0.215219,0.692855,-0.164157,0.158394,-7.616328,-8.088200,5.551e-17
DeepSets,ch4t-test-000872,10,4.856871,-1.549673,-1.307309,0.305364,-5.513238,-7.818491,0.000e+00
DeepSets,ch4t-test-000873,4,0.812137,0.621963,0.494357,0.127242,-6.226643,-8.282343,0.000e+00
DeepSets,ch4t-test-000874,5,-0.705661,-0.154530,0.149501,-0.828289,-8.992864,-7.453885,0.000e+00
DeepSets,ch4t-test-000875,5,1.835579,-1.058965,1.645676,-0.055831,-5.046122,-7.412581,0.000e+00
DeepSets,ch4t-test-000876,9,1.621144,1.263942,1.339251,0.027191,-3.625575,-7.877103,0.000e+00
DeepSets,ch4t-test-000877,9,-1.677329,-2.347980,1.300978,0.663196,-10.210715,-8.149581,0.000e+00
DeepSets,ch4t-test-000878,9,2.927062,-0.876067,-0.815421,1.724553,-4.845342,-7.805469,4.441e-16
DeepSets,ch4t-test-000879,8,4.288768,-0.622254,1.479567,-0.122912,-2.609663,-7.632831,8.882e-16
DeepSets,ch4t-test-000880,5,0.548278,-0.213260,0.944663,-0.232822,-7.205333,-8.252191,4.441e-16
DeepSets,ch4t-test-000881,5,4.690362,-0.951617,-0.943433,1.054179,-3.919271,-7.768762,0.000e+00
DeepSets,ch4t-test-000882,8,-0.044662,0.315796,-0.031270,0.022980,-7.122899,-7.385743,5.551e-17
DeepSets,ch4t-test-000883,10,-0.427909,-1.750453,-0.155959,-0.072530,-9.860391,-7.453541,0.000e+00
DeepSets,ch4t-test-000884,9,3.710548,0.196840,-0.099556,0.542665,-2.946748,-7.297245,8.882e-16
DeepSets,ch4t-test-000885,6,3.302397,-0.157006,0.330624,0.433628,-4.147462,-8.057105,0.000e+00
DeepSets,ch4t-test-000886,4,0.006462,0.202497,-0.033304,0.184908,-7.463135,-7.823699,0.000e+00
DeepSets,ch4t-test-000887,10,2.493766,0.427190,0.423433,0.151661,-4.627072,-8.123121,0.000e+00
DeepSets,ch4t-test-000888,10,1.472968,-0.526485,0.796255,0.693782,-5.478746,-7.915265,4.441e-16
DeepSets,ch4t-test-000889,10,2.691001,0.454885,0.338209,0.761442,-3.749794,-7.995331,0.000e+00
DeepSets,ch4t-test-000890,4,0.087751,1.149550,-0.041822,0.363769,-6.037275,-7.596523,0.000e+00
DeepSets,ch4t-test-000891,11,6.066086,-1.325281,-0.751291,0.925256,-2.896267,-7.811036,8.882e-16
DeepSets,ch4t-test-000892,6,0.768512,1.307492,0.262313,0.700198,-4.808996,-7.847510,4.441e-16
DeepSets,ch4t-test-000893,6,-0.390765,0.382789,0.306088,-0.430522,-7.720074,-7.587665,5.551e-17
DeepSets,ch4t-test-000894,6,3.575635,-1.078809,-0.513197,1.779148,-4.177098,-7.939876,0.000e+00
DeepSets,ch4t-test-000895,12,-0.098153,0.457404,0.927470,-0.182134,-6.944133,-8.048720,2.220e-16
DeepSets,ch4t-test-000896,6,1.858481,-0.303987,0.946716,-0.373301,-5.514636,-7.642545,8.882e-16
DeepSets,ch4t-test-000897,5,-0.020595,1.293403,-0.153693,0.398572,-6.248633,-7.766320,0.000e+00
DeepSets,ch4t-test-000898,11,1.042372,-0.437046,1.287955,-0.759296,-6.994379,-8.128365,2.220e-16
DeepSets,ch4t-test-000899,10,1.244806,0.197549,0.529468,0.196203,-5.629193,-7.797219,4.441e-16
DeepSets,ch4t-test-000900,11,0.392679,-0.803615,1.412309,-0.137788,-7.086318,-7.949904,0.000e+00
DeepSets,ch4t-test-000901,11,-0.108412,1.527426,-0.310924,0.456192,-6.084872,-7.649153,0.000e+00
DeepSets,ch4t-test-000902,9,0.132101,0.844303,0.257535,-0.185431,-7.029711,-8.078219,0.000e+00
DeepSets,ch4t-test-000903,10,-0.178197,0.688528,0.111736,0.594638,-6.489882,-7.706587,0.000e+00
DeepSets,ch4t-test-000904,11,3.049066,0.025462,-0.304036,0.585257,-4.284000,-7.639750,4.441e-16
DeepSets,ch4t-test-000905,5,-0.025717,0.986798,-0.107383,0.402476,-6.318740,-7.574914,0.000e+00
DeepSets,ch4t-test-000906,4,0.000518,0.628897,-0.066138,0.217562,-6.935789,-7.716628,0.000e+00
DeepSets,ch4t-test-000907,10,-0.022053,2.232769,-0.201354,0.000513,-5.860576,-7.870450,0.000e+00
DeepSets,ch4t-test-000908,7,1.627386,-0.597100,0.701619,0.572971,-5.972343,-8.277218,4.441e-16
DeepSets,ch4t-test-000909,4,-0.070987,0.192184,-0.194558,0.184926,-7.608561,-7.720125,0.000e+00
DeepSets,ch4t-test-000910,4,0.154526,-0.977782,0.399091,-0.284223,-8.777556,-8.069167,1.110e-16
DeepSets,ch4t-test-000911,12,2.973059,-0.280277,0.137791,0.358086,-4.893894,-8.082554,4.441e-16
DeepSets,ch4t-test-000912,9,5.127295,-0.988782,-1.631357,1.009453,-4.727163,-8.243773,0.000e+00
DeepSets,ch4t-test-000913,5,2.256262,-0.068743,1.076717,0.930587,-3.643249,-7.838072,0.000e+00
DeepSets,ch4t-test-000914,10,3.108573,-1.075858,0.669832,0.039132,-4.893768,-7.635446,0.000e+00
DeepSets,ch4t-test-000915,12,2.330664,0.754084,0.790570,0.417596,-4.027361,-8.320275,0.000e+00
DeepSets,ch4t-test-000916,9,3.730832,-0.916925,1.705938,0.230671,-3.138369,-7.888885,0.000e+00
DeepSets,ch4t-test-000917,5,0.814290,1.733903,0.631243,0.330190,-4.163691,-7.673318,4.441e-16
DeepSets,ch4t-test-000918,11,1.138905,-0.113864,0.637439,0.038889,-6.123078,-7.824448,0.000e+00
DeepSets,ch4t-test-000919,10,2.086225,0.562092,1.148228,0.067345,-3.844315,-7.708205,0.000e+00
DeepSets,ch4t-test-000920,5,0.680197,1.169790,0.599192,0.325795,-5.430516,-8.205490,0.000e+00
DeepSets,ch4t-test-000921,9,0.789471,0.269763,-0.010264,0.284599,-6.513128,-7.846697,2.220e-16
DeepSets,ch4t-test-000922,5,1.127868,-0.277098,1.235215,0.189422,-5.798712,-8.074119,0.000e+00
DeepSets,ch4t-test-000923,4,0.002651,0.127421,0.031648,0.026971,-7.952081,-8.140773,5.551e-17
DeepSets,ch4t-test-000924,6,2.601381,0.537510,0.100922,0.567765,-3.841001,-7.648577,4.441e-16
DeepSets,ch4t-test-000925,11,1.317384,0.711045,0.027611,0.566094,-5.418903,-8.041038,0.000e+00
DeepSets,ch4t-test-000926,4,2.295846,0.344859,0.229823,0.569251,-4.163944,-7.603722,0.000e+00
DeepSets,ch4t-test-000927,8,0.760269,-1.217724,1.479360,-0.265847,-6.942088,-7.698146,0.000e+00
DeepSets,ch4t-test-000928,8,-0.092895,-1.254387,2.228512,0.099915,-7.003396,-7.984540,1.110e-16
DeepSets,ch4t-test-000929,5,0.548670,-1.340434,1.275645,0.461353,-7.759216,-8.704451,3.331e-16
DeepSets,ch4t-test-000930,12,1.220447,-0.054447,1.617812,0.099970,-4.767908,-7.651690,4.441e-16
DeepSets,ch4t-test-000931,4,1.806520,-1.001943,0.416533,-0.139431,-7.221382,-8.303061,2.220e-16
DeepSets,ch4t-test-000932,7,1.746811,0.787647,0.159664,0.591565,-4.502648,-7.788335,0.000e+00
DeepSets,ch4t-test-000933,4,-0.210862,-0.868059,0.301270,-0.003532,-8.925642,-8.144459,1.110e-16
DeepSets,ch4t-test-000934,7,2.078646,-0.072759,0.176430,0.155350,-5.683459,-8.021126,4.441e-16
DeepSets,ch4t-test-000935,12,1.101725,0.191365,0.432102,0.562321,-5.301700,-7.589212,0.000e+00
DeepSets,ch4t-test-000936,10,1.994345,1.034393,1.191765,0.278103,-3.345724,-7.844331,0.000e+00
DeepSets,ch4t-test-000937,7,1.470675,0.439067,0.298186,0.554506,-4.859710,-7.622144,0.000e+00
DeepSets,ch4t-test-000938,5,0.463714,0.584075,0.337604,0.058941,-6.636009,-8.080343,2.220e-16
DeepSets,ch4t-test-000939,11,1.944281,-0.257005,1.249550,-0.213451,-5.626230,-8.349605,4.441e-16
DeepSets,ch4t-test-000940,6,0.049669,1.031826,-0.176265,0.254440,-6.866781,-8.026451,0.000e+00
DeepSets,ch4t-test-000941,12,2.917069,0.714287,0.391456,0.680134,-3.088647,-7.791593,8.882e-16
DeepSets,ch4t-test-000942,9,1.378393,-1.100129,1.276060,0.028381,-6.053316,-7.636022,2.220e-16
DeepSets,ch4t-test-000943,5,2.066208,0.800982,0.587759,0.385806,-4.295274,-8.136029,4.441e-16
DeepSets,ch4t-test-000944,4,0.924839,0.612508,0.201326,0.199819,-6.108852,-8.047344,0.000e+00
DeepSets,ch4t-test-000945,5,1.760388,-0.660902,1.802578,-0.704571,-6.157575,-8.355067,0.000e+00
DeepSets,ch4t-test-000946,8,1.877273,0.281704,0.638950,0.198460,-5.349264,-8.345652,0.000e+00
DeepSets,ch4t-test-000947,5,1.885759,0.061565,0.466379,0.336059,-4.811480,-7.561242,0.000e+00
DeepSets,ch4t-test-000948,11,1.911873,0.531663,0.878266,-0.011213,-4.707340,-8.017929,4.441e-16
DeepSets,ch4t-test-000949,8,2.050631,0.334762,0.413227,0.669756,-4.799068,-8.267444,0.000e+00
DeepSets,ch4t-test-000950,9,-0.189072,-0.242391,0.334147,-0.037304,-8.389768,-8.255147,2.776e-17
DeepSets,ch4t-test-000951,5,1.488724,1.426087,0.546299,0.320059,-3.359899,-7.141069,0.000e+00
DeepSets,ch4t-test-000952,11,0.310642,0.721777,-0.043667,0.325691,-6.667713,-7.982156,0.000e+00
DeepSets,ch4t-test-000953,10,1.063307,1.352897,0.180675,0.700500,-4.601362,-7.898741,0.000e+00
DeepSets,ch4t-test-000954,6,0.557815,0.118930,0.355347,-0.004675,-7.087301,-8.114717,0.000e+00
DeepSets,ch4t-test-000955,10,0.174037,0.488939,0.033212,-0.067629,-6.855189,-7.483748,0.000e+00
DeepSets,ch4t-test-000956,6,2.583574,-1.068158,1.531303,0.095395,-5.204597,-8.346711,4.441e-16
DeepSets,ch4t-test-000957,8,-0.215717,1.004996,-0.046571,-0.070184,-7.236624,-7.909147,1.110e-16
DeepSets,ch4t-test-000958,5,1.989508,0.351466,0.809638,0.858751,-4.368322,-8.377685,0.000e+00
DeepSets,ch4t-test-000959,5,0.987765,0.678241,0.105539,0.618381,-5.607359,-7.997285,0.000e+00
DeepSets,ch4t-test-000960,9,0.044207,1.277623,-0.170402,0.196150,-6.386983,-7.734561,2.220e-16
DeepSets,ch4t-test-000961,4,2.344335,0.412012,0.216951,0.664428,-4.340102,-7.977828,4.441e-16
DeepSets,ch4t-test-000962,5,0.882207,-0.720727,1.353256,-0.126638,-6.887461,-8.275559,2.220e-16
DeepSets,ch4t-test-000963,6,0.350221,-0.033649,0.632428,-0.004861,-7.269668,-8.213808,1.110e-16
DeepSets,ch4t-test-000964,12,3.381232,-0.423426,0.156763,0.383081,-4.319671,-7.817321,0.000e+00
DeepSets,ch4t-test-000965,10,-0.126013,-0.926813,0.329813,0.047321,-8.416984,-7.741293,0.000e+00
DeepSets,ch4t-test-000966,7,1.142086,0.356604,0.069331,0.674330,-6.234098,-8.476449,0.000e+00
DeepSets,ch4t-test-000967,4,1.614727,0.016649,0.517450,0.424766,-6.089744,-8.663335,0.000e+00
DeepSets,ch4t-test-000968,5,-0.007716,0.144833,0.369557,0.053118,-7.357533,-7.917324,0.000e+00
DeepSets,ch4t-test-000969,12,0.255290,0.544421,0.542411,-0.183910,-6.983983,-8.142195,0.000e+00
DeepSets,ch4t-test-000970,9,1.188076,-0.165907,0.589218,0.154742,-6.383570,-8.149700,2.220e-16
DeepSets,ch4t-test-000971,5,-0.025434,0.913400,-0.029929,0.246719,-6.433033,-7.537789,0.000e+00
DeepSets,ch4t-test-000972,12,0.427587,0.672716,0.189535,0.663711,-5.850525,-7.804075,2.220e-16
DeepSets,ch4t-test-000973,8,1.680525,0.838380,0.228255,0.227532,-5.188963,-8.163656,4.441e-16
DeepSets,ch4t-test-000974,8,6.549610,-1.687997,-1.375350,0.443731,-4.183249,-8.113244,0.000e+00
DeepSets,ch4t-test-000975,12,2.962685,0.095290,0.179810,0.238055,-4.224600,-7.700439,4.441e-16
DeepSets,ch4t-test-000976,11,2.798702,-0.274098,0.987666,0.847736,-3.601206,-7.961212,0.000e+00
DeepSets,ch4t-test-000977,12,1.537925,0.563363,0.824204,0.953445,-3.992056,-7.870993,0.000e+00
DeepSets,ch4t-test-000978,7,0.274864,0.521236,-0.016160,0.079902,-7.355277,-8.215118,1.110e-16
DeepSets,ch4t-test-000979,12,1.226668,-0.382905,1.544700,0.228369,-5.041836,-7.658668,0.000e+00
DeepSets,ch4t-test-000980,6,1.537357,0.496214,0.695067,0.059315,-5.757963,-8.545915,0.000e+00
DeepSets,ch4t-test-000981,5,1.562253,1.127865,1.410955,-0.117022,-4.829477,-8.813527,4.441e-16
DeepSets,ch4t-test-000982,8,0.960832,-0.717831,0.541103,1.824708,-5.556391,-8.165203,0.000e+00
DeepSets,ch4t-test-000983,11,0.044107,0.657373,0.293059,-0.264557,-7.037832,-7.767814,0.000e+00
DeepSets,ch4t-test-000984,8,0.450783,0.229528,1.154274,-0.097733,-6.361374,-8.098225,2.220e-16
DeepSets,ch4t-test-000985,11,2.875218,0.176711,0.911467,0.463414,-3.262289,-7.689100,0.000e+00
DeepSets,ch4t-test-000986,6,1.634831,0.142297,0.732550,0.668145,-4.635650,-7.813471,4.441e-16
DeepSets,ch4t-test-000987,9,-0.540936,-0.152016,0.212042,-0.018433,-8.284295,-7.784953,5.551e-17
