aug,epoch,train_loss,val_nll
1,0,8.088227641582488,7.9759892578125
1,1,7.992300653457642,7.948332763671875
1,2,7.971845734119415,7.93709619140625
1,3,7.967419695854187,7.950291748046875
1,4,7.963847100734711,7.9465771484375
1,5,7.956419897079468,7.929752685546875
1,6,7.948598778247833,7.937998291015625
1,7,7.941927170753479,7.929266357421875
1,8,7.924969172477722,7.8946865234375
1,9,7.875031149387359,7.834337158203125
1,10,7.778211557865143,7.744076416015625
1,11,7.630079007148742,7.59550830078125
1,12,7.396743392944336,7.2866982421875
1,13,7.199510669708252,7.138408935546875
1,14,7.093546211719513,7.0606416015625
1,15,7.009895300865173,6.98185498046875
1,16,6.941317641735077,6.9373984375
1,17,6.89133734703064,6.9122001953125
1,18,6.838643157482148,6.86370361328125
1,19,6.80317131280899,6.843522216796875
1,20,6.747240114212036,6.8101708984375
1,21,6.713240826129914,6.79341357421875
1,22,6.6705121994018555,6.7341025390625
1,23,6.658094573020935,6.7245478515625
1,24,6.622101604938507,6.690658203125
1,25,6.605620336532593,6.6602998046875
1,26,6.572270262241363,6.671941650390625
1,27,6.545132577419281,6.6036962890625
1,28,6.525067389011383,6.621864013671875
1,29,6.505318725109101,6.6295908203125
1,30,6.482203686237336,6.5856513671875
1,31,6.470081782341003,6.582172607421875
1,32,6.4538554668426515,6.5521376953125
1,33,6.436571955680847,6.56032080078125
1,34,6.425620341300965,6.56291845703125
1,35,6.402217507362366,6.535911376953125
1,36,6.393235814571381,6.54502294921875
1,37,6.363310694694519,6.5215263671875
1,38,6.373056030273437,6.559779052734375
1,39,6.354626834392548,6.47093310546875
0,0,8.086505484580993,7.968751708984375
0,1,7.960959351062774,7.965895751953125
0,2,7.930883586406708,7.963642822265625
0,3,7.876683151721954,7.9949599609375
0,4,7.739082098007202,8.05502490234375
0,5,7.520976567268372,8.0961015625
0,6,7.281586277484894,8.0546083984375
0,7,7.060802316665649,8.03632666015625
0,8,6.858253002166748,8.016322265625
0,9,6.667820286750794,8.00504736328125
0,10,6.490484833717346,8.0107431640625
0,11,6.331417810916901,7.982021728515625
0,12,6.156424772739411,7.9929599609375
0,13,5.9957633256912235,7.97992578125
0,14,5.829939222335815,7.991947021484375
0,15,5.684109377861023,7.97919482421875
0,16,5.5200595498085026,7.975506103515625
0,17,5.374669098854065,7.98728515625
0,18,5.2303941488265995,7.9868642578125
0,19,5.072072851657867,8.00866943359375
0,20,4.936210477352143,8.01250439453125
0,21,4.798558235168457,8.00787548828125
0,22,4.657524073123932,8.028254150390625
0,23,4.533350348472595,8.0205888671875
0,24,4.4152190566062925,8.043325439453126
0,25,4.292783486843109,8.041248046875
0,26,4.181957423686981,8.06958251953125
0,27,4.072743237018585,8.085196044921876
0,28,3.95978884100914,8.118808837890626
0,29,3.8569105207920074,8.1291611328125
0,30,3.756747078895569,8.13666015625
0,31,3.6669512331485747,8.181447998046876
0,32,3.5710848331451417,8.1837861328125
0,33,3.490579700469971,8.182767578125
0,34,3.3995244562625886,8.23158984375
0,35,3.3202405273914337,8.248703125
0,36,3.247403061389923,8.28448583984375
0,37,3.1726698875427246,8.285441162109375
0,38,3.106692534685135,8.27902783203125
0,39,3.0453803896903993,8.357215087890625
