NPEFlowPhys params: 0.85M
  ep 0 val_nll -0.6246
  ep 25 val_nll -1.6911
  ep 50 val_nll -1.8171
  ep 75 val_nll -1.8425
  ep 100 val_nll -1.9080
  ep 125 val_nll -1.9697
  ep 150 val_nll -1.9386
  ep 175 val_nll -1.8973
  ep 200 val_nll -1.9431
  ep 225 val_nll -1.9502
  ep 250 val_nll -1.9573
  ep 275 val_nll -1.9689
  ep 300 val_nll -1.9735
  ep 325 val_nll -2.0028
  ep 350 val_nll -1.9644
  ep 375 val_nll -1.9626
  ep 400 val_nll -1.9002
  ep 425 val_nll -1.8504
