aug,epoch,train_loss,val_nll
1,0,8.090684068202972,7.97912890625
1,1,7.9895149827003475,7.970341552734375
1,2,7.974845349788666,7.96096630859375
1,3,7.972563886642456,7.95003759765625
1,4,7.963195335865021,7.9424208984375
1,5,7.963495802879334,7.936416015625
1,6,7.956645107269287,7.946491455078125
1,7,7.952178597450256,7.938064453125
1,8,7.951902520656586,7.9369326171875
1,9,7.947707986831665,7.93662109375
1,10,7.947875165939331,7.94090234375
1,11,7.9477860689163204,7.9366767578125
1,12,7.944640529155731,7.920708740234375
1,13,7.942199063301087,7.929173828125
1,14,7.938683366775512,7.9339736328125
1,15,7.937982380390167,7.932485595703125
1,16,7.938391613960266,7.9305791015625
1,17,7.933921122550965,7.93098974609375
1,18,7.928713023662567,7.93502685546875
1,19,7.9291827917099,7.923576904296875
1,20,7.923417162895203,7.939041259765625
1,21,7.921555626392364,7.935306884765625
1,22,7.915479815006256,7.94573583984375
1,23,7.9121641397476195,7.94332275390625
1,24,7.908251106739044,7.948938720703125
1,25,7.9035966992378235,7.9506416015625
1,26,7.89805303812027,7.94780712890625
1,27,7.891874468326568,7.9591689453125
1,28,7.886398983001709,7.9605126953125
1,29,7.879061663150788,7.96040234375
1,30,7.872124242782593,7.95522021484375
1,31,7.8587717652320865,7.97185791015625
1,32,7.84451721906662,7.97873046875
1,33,7.836966896057129,7.99514111328125
1,34,7.820200622081757,8.001236328125
1,35,7.793342316150666,8.01551025390625
1,36,7.776206147670746,7.999015625
1,37,7.751694691181183,7.999521484375
1,38,7.713630533218383,8.018529296875
1,39,7.705472135543824,8.01113623046875
0,0,8.086805236339568,7.975309814453125
0,1,7.966916012763977,7.9641533203125
0,2,7.940267443656921,7.957009033203125
0,3,7.902490508556366,7.975897216796875
0,4,7.815831303596497,8.04277001953125
0,5,7.63188157081604,8.121260498046874
0,6,7.447273921966553,8.16001025390625
0,7,7.255752670764923,8.20693212890625
0,8,7.08205144405365,8.240540771484374
0,9,6.908013761043549,8.26964599609375
0,10,6.739301550388336,8.308207763671875
0,11,6.576277494430542,8.36367822265625
0,12,6.438446629047394,8.39817041015625
0,13,6.2719409465789795,8.4291064453125
0,14,6.114849090576172,8.4711611328125
0,15,5.953064262866974,8.5239208984375
0,16,5.811668395996094,8.55248046875
0,17,5.65886869430542,8.58191845703125
0,18,5.5153157949447635,8.6246962890625
0,19,5.370273363590241,8.666392578125
0,20,5.222446072101593,8.717783203125
0,21,5.076550388336182,8.7534560546875
0,22,4.953930926322937,8.784130859375
0,23,4.822481954097748,8.819931640625
0,24,4.687836360931397,8.84789306640625
0,25,4.569741749763489,8.9029853515625
0,26,4.44800374507904,8.9314755859375
0,27,4.337690782546997,8.972189453125
0,28,4.21934427022934,9.0059443359375
0,29,4.1102087020874025,9.07993505859375
0,30,4.000927603244781,9.091693359375
0,31,3.896391159296036,9.1115322265625
0,32,3.7945321261882783,9.16738330078125
0,33,3.7022585570812225,9.2012978515625
0,34,3.599378263950348,9.2438740234375
0,35,3.5196800112724302,9.29911767578125
0,36,3.4378407537937163,9.29591796875
0,37,3.3545374095439913,9.3767109375
0,38,3.2756431698799133,9.426052734375
0,39,3.2043878197669984,9.47989892578125
